figure_id,figure_title,claim,status,panel,panel_title,panel_svg_asset,panel_png_asset,source_data,panel_caption,output_svg,output_png,output_pdf,output_tiff,figure_caption,dpi
figure3_agc_diagnostic,Figure 3. AGC remains diagnostic,"Best-window AGC follows a partial bias-variance pattern, but boundary pressure prevents theorem-level closure.",diagnostic; not a final quantitative theorem,A,Original window-law fit,results/paper_figures_r1/m4_agc_window_fit_table.svg,results/paper_figures_r1/m4_agc_window_fit_table.png,results/theory_m4_paper_r2_highrho/m4_agc_window_law_fit.csv,Original AGC window-law fit.,results/paper_figures_r2_final/figure3_agc_diagnostic.svg,results/paper_figures_r2_final/figure3_agc_diagnostic.png,results/paper_figures_r2_final/figure3_agc_diagnostic.pdf,results/paper_figures_r2_final/figure3_agc_diagnostic.tiff,"AGC window-law evidence across the original, targeted, and boundary-aware fits. The figure is intentionally labelled diagnostic because many best windows remain at the grid boundary.",300
figure3_agc_diagnostic,Figure 3. AGC remains diagnostic,"Best-window AGC follows a partial bias-variance pattern, but boundary pressure prevents theorem-level closure.",diagnostic; not a final quantitative theorem,B,Targeted saturation,results/paper_figures_r1/m4_agc_targeted_saturation_table.svg,results/paper_figures_r1/m4_agc_targeted_saturation_table.png,results/theory_m4_agc_targeted_r1/m4_agc_targeted_saturation.csv,Targeted grid saturation table.,results/paper_figures_r2_final/figure3_agc_diagnostic.svg,results/paper_figures_r2_final/figure3_agc_diagnostic.png,results/paper_figures_r2_final/figure3_agc_diagnostic.pdf,results/paper_figures_r2_final/figure3_agc_diagnostic.tiff,"AGC window-law evidence across the original, targeted, and boundary-aware fits. The figure is intentionally labelled diagnostic because many best windows remain at the grid boundary.",300
figure3_agc_diagnostic,Figure 3. AGC remains diagnostic,"Best-window AGC follows a partial bias-variance pattern, but boundary pressure prevents theorem-level closure.",diagnostic; not a final quantitative theorem,C,Targeted fit,results/paper_figures_r1/m4_agc_targeted_fit_table.svg,results/paper_figures_r1/m4_agc_targeted_fit_table.png,results/theory_m4_agc_targeted_r1/m4_agc_targeted_fit.csv,Targeted AGC fit table.,results/paper_figures_r2_final/figure3_agc_diagnostic.svg,results/paper_figures_r2_final/figure3_agc_diagnostic.png,results/paper_figures_r2_final/figure3_agc_diagnostic.pdf,results/paper_figures_r2_final/figure3_agc_diagnostic.tiff,"AGC window-law evidence across the original, targeted, and boundary-aware fits. The figure is intentionally labelled diagnostic because many best windows remain at the grid boundary.",300
figure3_agc_diagnostic,Figure 3. AGC remains diagnostic,"Best-window AGC follows a partial bias-variance pattern, but boundary pressure prevents theorem-level closure.",diagnostic; not a final quantitative theorem,D,Boundary-aware fit,results/paper_figures_r1/m4_agc_boundary_aware_fit_table.svg,results/paper_figures_r1/m4_agc_boundary_aware_fit_table.png,results/theory_m4_agc_boundary_aware_r1/m4_agc_boundary_aware_fit.csv,Censored/boundary-aware fit table.,results/paper_figures_r2_final/figure3_agc_diagnostic.svg,results/paper_figures_r2_final/figure3_agc_diagnostic.png,results/paper_figures_r2_final/figure3_agc_diagnostic.pdf,results/paper_figures_r2_final/figure3_agc_diagnostic.tiff,"AGC window-law evidence across the original, targeted, and boundary-aware fits. The figure is intentionally labelled diagnostic because many best windows remain at the grid boundary.",300
figure4_error_scaling,Figure 4. Residual gain errors and averaging laws,"Residual gain error scales quadratically, while random-frame reconstructions average residual error down with frame count.",strong quantitative support,A,Residual gain scaling,results/paper_figures_r1/m4_error_scaling_fit_table.svg,results/paper_figures_r1/m4_error_scaling_fit_table.png,results/theory_m4_paper_r2_highrho/m4_error_scaling_fit.csv,Residual gain scaling fit.,results/paper_figures_r2_final/figure4_error_scaling.svg,results/paper_figures_r2_final/figure4_error_scaling.png,results/paper_figures_r2_final/figure4_error_scaling.pdf,results/paper_figures_r2_final/figure4_error_scaling.tiff,The main fitted laws supporting H2/H4: residual gain errors have near-quadratic scaling; random-frame correlation reconstructions improve with frame count; deterministic bases concentrate coefficient energy.,300
figure4_error_scaling,Figure 4. Residual gain errors and averaging laws,"Residual gain error scales quadratically, while random-frame reconstructions average residual error down with frame count.",strong quantitative support,B,Random-frame curve,results/paper_figures_r1/m4_random_frame_scaling_sigma0p05.svg,results/paper_figures_r1/m4_random_frame_scaling_sigma0p05.png,results/theory_m4_paper_r2_highrho/m4_random_frame_scaling_summary.csv,Random-frame scaling at sigma_delta=0.05.,results/paper_figures_r2_final/figure4_error_scaling.svg,results/paper_figures_r2_final/figure4_error_scaling.png,results/paper_figures_r2_final/figure4_error_scaling.pdf,results/paper_figures_r2_final/figure4_error_scaling.tiff,The main fitted laws supporting H2/H4: residual gain errors have near-quadratic scaling; random-frame correlation reconstructions improve with frame count; deterministic bases concentrate coefficient energy.,300
figure4_error_scaling,Figure 4. Residual gain errors and averaging laws,"Residual gain error scales quadratically, while random-frame reconstructions average residual error down with frame count.",strong quantitative support,C,Frame-count fit,results/paper_figures_r1/m4_random_frame_scaling_fit_table.svg,results/paper_figures_r1/m4_random_frame_scaling_fit_table.png,results/theory_m4_paper_r2_highrho/m4_random_frame_scaling_fit.csv,Frame-count fit table.,results/paper_figures_r2_final/figure4_error_scaling.svg,results/paper_figures_r2_final/figure4_error_scaling.png,results/paper_figures_r2_final/figure4_error_scaling.pdf,results/paper_figures_r2_final/figure4_error_scaling.tiff,The main fitted laws supporting H2/H4: residual gain errors have near-quadratic scaling; random-frame correlation reconstructions improve with frame count; deterministic bases concentrate coefficient energy.,300
figure4_error_scaling,Figure 4. Residual gain errors and averaging laws,"Residual gain error scales quadratically, while random-frame reconstructions average residual error down with frame count.",strong quantitative support,D,Energy concentration,results/paper_figures_r1/m4_top5_energy_concentration.svg,results/paper_figures_r1/m4_top5_energy_concentration.png,results/theory_m4_paper_r2_highrho/m4_energy_concentration_summary.csv,Top-5% coefficient energy.,results/paper_figures_r2_final/figure4_error_scaling.svg,results/paper_figures_r2_final/figure4_error_scaling.png,results/paper_figures_r2_final/figure4_error_scaling.pdf,results/paper_figures_r2_final/figure4_error_scaling.tiff,The main fitted laws supporting H2/H4: residual gain errors have near-quadratic scaling; random-frame correlation reconstructions improve with frame count; deterministic bases concentrate coefficient energy.,300
figure5_m2_phase_boundary,Figure 5. M2 phase map and flip boundaries,SRHT/Hadamard pairwise dominates only in above-floor strict equal-frame cells; floor cells are excluded from winner claims.,compact-protocol complete; final artwork draft,A,Strict equal-frame winners,results/paper_figures_r1/m2_equal_frame_winner_map.svg,results/paper_figures_r1/m2_equal_frame_winner_map.png,results/m2_boundary_audit_highrho/m2_winner_cells.csv,Strict equal-frame winner map.,results/paper_figures_r2_final/figure5_m2_phase_boundary.svg,results/paper_figures_r2_final/figure5_m2_phase_boundary.png,results/paper_figures_r2_final/figure5_m2_phase_boundary.pdf,results/paper_figures_r2_final/figure5_m2_phase_boundary.tiff,Prompt-range M2 phase maps and observed flip-boundary fits after the rel_mse<0.5 above-floor gate. Reference-frame methods are shown separately because they spend extra physical frames; grey map cells are reconstruction-floor cells.,300
figure5_m2_phase_boundary,Figure 5. M2 phase map and flip boundaries,SRHT/Hadamard pairwise dominates only in above-floor strict equal-frame cells; floor cells are excluded from winner claims.,compact-protocol complete; final artwork draft,B,All non-oracle winners,results/paper_figures_r1/m2_all_non_oracle_winner_map.svg,results/paper_figures_r1/m2_all_non_oracle_winner_map.png,results/m2_boundary_audit_highrho/m2_winner_cells.csv,All non-oracle winner map.,results/paper_figures_r2_final/figure5_m2_phase_boundary.svg,results/paper_figures_r2_final/figure5_m2_phase_boundary.png,results/paper_figures_r2_final/figure5_m2_phase_boundary.pdf,results/paper_figures_r2_final/figure5_m2_phase_boundary.tiff,Prompt-range M2 phase maps and observed flip-boundary fits after the rel_mse<0.5 above-floor gate. Reference-frame methods are shown separately because they spend extra physical frames; grey map cells are reconstruction-floor cells.,300
